Competência;Temática;Título;Instituição;Modalidade;Carga Horária;Público-Alvo;Link
fddijfioajofijdsa;Tecnologia da Informação;ARQUITETURA DE SOLUÇÕES PARA TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/799
dfifjia;Tecnologia da Informação;SEGURANÇA DA INFORMAÇÃO NO CONTEXTO DA TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/378
dfkkap;Tecnologia da Informação;O PAPEL DO DEVOPS NA TRANSFORMAÇÃO DIGITAL DOS SERVIÇOS PÚBLICOS ;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/366
kokokapoakpd;Tecnologia da Informação;ADMINISTRAÇÃO DE SERVIÇOS NA NUVEM DE GOVERNO ;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/259
kodksaosk;Tecnologia da Informação;GOVERNANÇA DE TIC PARA O GOVERNO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/348
dfkdpfkpoakdf;Tecnologia da Informação;ABORDAGEM LEAN APLICADA À TRANSFORMAÇÃO DIGITAL NA ADMINISTRAÇÃO PÚBLICA ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/524
fddijfioajofijdsa;Tecnologia da Informação;INTELIGÊNCIA ARTIFICIAL PARA LÍDERES;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;30 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2480/?area=11
dfifjia;Pesquisa com usuários;UX: COMO MELHORAR A EXPERIÊNCIA DO USUÁRIO NO SERVIÇO PÚBLICO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/537
dfkkap;Pesquisa com usuários;USER RESEARCH: ENTENDENDO AS NECESSIDADES DOS USUÁRIOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2075/?area=11
kokokapoakpd;Pesquisa com usuários;USER RESEARCH: AVALIANDO PROJETOS COM USUÁRIOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2107/?area=11
kodksaosk;TECNOLOGIA DA INFORMAÇÃO;PRATICANDO A LGPD;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;22 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2054/?area=11
dfkdpfkpoakdf;TECNOLOGIA DA INFORMAÇÃO;OKR APLICADO À TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/523
fddijfioajofijdsa;Planilhas eletrônicas;INTRODUÇÃO AO EXCEL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/459
dfifjia;Power BI;PRATICANDO BUSINESS INTELLIGENCE;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;32 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2016/?area=2
dfkkap;Power BI;APLICAÇÃO DO POWER BI PARA APRIMORAMENTO DA GESTÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/840
kokokapoakpd;Direito Administrativo;PRATICANDO O DIREITO ADMINISTRATIVO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;EAD;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/1290/?area=9
kodksaosk;Dados;VISUALIZAÇÃO DE DADOS APLICADA À TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/802
dfkdpfkpoakdf;Dados;USO DE EVIDÊNCIAS PARA TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;22 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2065/?area=2
fddijfioajofijdsa;Dados;ANÁLISE DE DADOS: UMA LEITURA CRÍTICA DAS INFORMAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;EAD;23 h/a;Gestores;https://www.escolavirtual.gov.br/curso/764
dfifjia;Dados;ANÁLISE DE DADOS COMO SUPORTE À TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/406
dfkkap;Gestão Documental;GESTÃO E PRESERVAÇÃO DE DOCUMENTOS DIGITAIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;26 h/a;Gestores;https://www.escolavirtual.gov.br/curso/857
kokokapoakpd;Gestão Documental;ELABORAÇÃO DE INSTRUMENTOS DE GESTÃO DE DOCUMENTOS ARQUIVÍSTICOS RELATIVOS ÀS ATIVIDADES-FIM;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/858
kodksaosk;Gestão Documental;AUDITORIA DE GESTÃO DOCUMENTAL: PREPARE-SE PARA SER AUDITADO;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/668
dfkdpfkpoakdf;Gestão Documental;NOÇÕES BÁSICAS DE GERENCIAMENTO EM SERVIÇOS ARQUIVÍSTICOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;15 h/a;Gestores;https://www.escolavirtual.gov.br/curso/855
fddijfioajofijdsa;Gestão Documental;ARQUIVOS PERMANENTES: RECOLHIMENTO, PROCESSAMENTO TÉCNICO, PRESERVAÇÃO E ACESSO;https://acad-inpi.github.io/black/enap-logo.png;EAD;27 h/a;Gestores;https://www.escolavirtual.gov.br/curso/795
dfifjia;Gestão Documental;PROCEDIMENTOS DE PROTOCOLO;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/791
dfkkap;Gestão Documental;GESTÃO DOCUMENTAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/703
kokokapoakpd;Gestão Documental;INTRODUÇÃO ÀS PRÁTICAS ARQUIVÍSTICAS;https://acad-inpi.github.io/black/enap-logo.png;EAD;27 h/a;Gestores;https://www.escolavirtual.gov.br/curso/559
kodksaosk;Gestão Documental;SISTEMA ELETRÔNICO DE INFORMAÇÕES - SEI! ADMINISTRAR;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/304
dfkdpfkpoakdf;Gestão Documental;SISTEMA ELETRÔNICO DE INFORMAÇÕES - SEI! USAR;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/74
fddijfioajofijdsa;Gestão Documental;GESTÃO DA INFORMAÇÃO E DOCUMENTAÇÃO - CONCEITOS BÁSICOS EM GESTÃO DOCUMENTAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/73
dfifjia;Desenvolvimento Pessoal;SOFT SKILLS NA TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/812
dfkkap;Desenvolvimento Pessoal;O FUTURO DO TRABALHO: SOFT SKILLS E BEM-ESTAR;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2059/?area=7
kokokapoakpd;Desenvolvimento Pessoal;RELAÇÕES INTERPESSOAIS E FEEDBACK;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/387/?area=3
kodksaosk;Desenvolvimento Pessoal;HABILIDADES DE COMUNICAÇÃO INTERPESSOAL NO AMBIENTE DE TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2049/?area=3
dfkdpfkpoakdf;Gestão Patrimonial;FISCALIZAÇÃO DA GESTÃO DO PATRIMÔNIO DA UNIÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;45 h/a;Gestores;https://www.escolavirtual.gov.br/curso/242/
fddijfioajofijdsa;Gestão Patrimonial;CONTABILIDADE COM FOCO NA GESTÃO DO PATRIMÔNIO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;EAD;21 h/a;Gestores;https://www.escolavirtual.gov.br/curso/342
dfifjia;Sustentabilidade;INFRAESTRUTURA E SUSTENTABILIDADE;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;14 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2069/?area=12
dfkkap;Sustentabilidade;SUSTENTABILIDADE NA ADMINISTRAÇÃO PÚBLICA;https://acad-inpi.github.io/black/enap-logo.png;EAD;28 h/a;Gestores;https://www.escolavirtual.gov.br/curso/254/
kokokapoakpd;Sustentabilidade;CONTRATAÇÕES PÚBLICAS SUSTENTÁVEIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/430
kodksaosk;Contratações Públicas;ÉTICA EM CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;15 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2031/?area=14
dfkdpfkpoakdf;Contratações Públicas;FISCALIZAÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2041/?area=14
fddijfioajofijdsa;Contratações Públicas;FORMAÇÃO DE PREGOEIROS - PRÁTICA;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;14 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/995/?area=14
dfifjia;Contratações Públicas;GESTÃO DE RISCOS NAS CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2070/?area=8
dfkkap;Contratações Públicas;PLANILHA DE CUSTOS E FORMAÇÃO DE PREÇOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;28 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/1522/?area=14
kokokapoakpd;Contratações Públicas;PRATICANDO A APLICAÇÃO DE PENALIDAES NOS CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2037/?area=14
kodksaosk;Contratações Públicas;PRATICANDO A COMPRA PÚBLICA: ETP E TR;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;28 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2074/?area=14
dfkdpfkpoakdf;Contratações Públicas;PRATICANDO A GESTÃO E FISCALIZAÇÃO DE CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;28 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2079/?area=13
fddijfioajofijdsa;Contratações Públicas;TRILHA DE APRENDIZAGEM: CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png;; h/a;Gestores;https://sites.google.com/enap.gov.br/trilha-de-contratacoes
dfifjia;Contratações Públicas;ÉTICA EM CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;15 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2031/?area=14
dfkkap;Contratações Públicas;FISCALIZAÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2041/?area=14
kokokapoakpd;Contratações Públicas;GESTÃO DE RISCOS NAS CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2070/?area=8
kodksaosk;Contratações Públicas;PLANILHA DE CUSTOS E FORMAÇÃO DE PREÇOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;28 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/1522/?area=14
dfkdpfkpoakdf;Contratações Públicas;PRATICANDO A APLICAÇÃO DE PENALIDAES NOS CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2037/?area=14
fddijfioajofijdsa;Contratações Públicas;PRATICANDO A COMPRA PÚBLICA: ETP E TR;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;28 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2074/?area=14
dfifjia;Contratações Públicas;PRATICANDO A GESTÃO E FISCALIZAÇÃO DE CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;28 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2079/?area=13
dfkkap;Contratações Públicas;TRILHA DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;HÍBRIDO; h/a;Gestores;https://sites.google.com/enap.gov.br/trilha-de-contratacoes
kokokapoakpd;Planilhas eletrônicas;INTRODUÇÃO AO EXCEL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/459
kodksaosk;Power BI;PRATICANDO BUSINESS INTELLIGENCE;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;32 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2016/?area=2
dfkdpfkpoakdf;Power BI;APLICAÇÃO DO POWER BI PARA APRIMORAMENTO DA GESTÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/840
fddijfioajofijdsa;Dados;VISUALIZAÇÃO DE DADOS APLICADA À TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/802
dfifjia;Dados;USO DE EVIDÊNCIAS PARA TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;22 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2065/?area=2
dfkkap;Dados;ANÁLISE DE DADOS: UMA LEITURA CRÍTICA DAS INFORMAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;EAD;23 h/a;Gestores;https://www.escolavirtual.gov.br/curso/764
kokokapoakpd;Dados;ANÁLISE DE DADOS COMO SUPORTE À TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/406
kodksaosk;Gestão do Conhecimento;PRATICANDO A GESTÃO DO CONHECIMENTO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2061/?area=9
dfkdpfkpoakdf;Gestão do Conhecimento;GESTÃO DO CONHECIMENTO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/414/
fddijfioajofijdsa;Gestão do Conhecimento;GESTÃO DO CONHECIMENTO: TEORIA E PRÁTICAS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/904/
dfifjia;Gestão do Conhecimento;DESIGN THINKING APLICADO A BIBLIOTECAS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/852
dfkkap;Ensino e aprendizagem;ESTRATÉGIAS DE METODOLOGIAS ATIVAS;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/436
kokokapoakpd;Ensino e aprendizagem;ESTILOS DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/434
kodksaosk;Ensino e aprendizagem;AVALIAÇÃO EM PROCESSOS DE APRENDIZAGEM E MODELOS DE FEEDBACK;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/606
dfkdpfkpoakdf;Ensino e aprendizagem;METODOLOGIAS ATIVAS;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/628
fddijfioajofijdsa;Ensino e aprendizagem;DESENVOLVIMENTO DE OBJETOS E ATIVIDADES DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/446
dfifjia;Ensino e aprendizagem;AMBIENTES DIGITAIS DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/418
dfkkap;Ensino e aprendizagem;GESTÃO DE PROJETOS EDUCACIONAIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/415
kokokapoakpd;Ensino e aprendizagem;DESIGN THINKING APLICADO À EDUCAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/448
kodksaosk;Ensino e aprendizagem;FUNDAMENTOS E METODOLOGIA DA EDUCAÇÃO CORPORATIVA;https://acad-inpi.github.io/black/enap-logo.png;EAD; h/a;Gestores;https://www.escolavirtual.gov.br/curso/271
dfkdpfkpoakdf;Ensino e aprendizagem;DESENHO INSTRUCIONAL PARA SOLUÇÕES DE CAPACITAÇÕES PRESENCIAIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/250
fddijfioajofijdsa;Ensino e aprendizagem;NOÇÕES BÁSICAS PARA COORDENAR CURSOS ON-LINE;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/198
dfifjia;Ensino e aprendizagem;FORMAÇÃO DE FACILITADORES DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/141
dfkkap;Ensino e aprendizagem;DESIGN INSTRUCIONAL: ANÁLISE DE DEMANDAS DE AÇÕES DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2058/?area=23
kokokapoakpd;Ensino e aprendizagem;ESTRATÉGIAS PARA FACILITAÇÃO DE AULAS REMOTAS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2101/?area=23
kodksaosk;Gestão de pessoas;COMUNICAÇÃO NÃO-VIOLENTA: BASES E APLICAÇÕES NA ERA DO TRABALHO REMOTO ;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;18 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/1181/?area=3
dfkdpfkpoakdf;Gestão de pessoas;HABILIDADES DE GESTÃO DE PESSOAS ;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;23 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2023/?area=3
fddijfioajofijdsa;Gestão de pessoas;HABILIDADES DE COMUNICAÇÃO INTERPESSOAL NO AMBIENTE DE TRABALHO ;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2049/?area=3
dfifjia;Gestão de pessoas;LIDERANÇA HUMANIZADA: CONSTRUINDO ESPAÇO DE SEGURANÇA PSICOLÓGICA ;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2086/?area=7
dfkkap;Gestão de pessoas;LIDERANÇA HUMANIZADA: MODELAGEM DE PAPÉIS ;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2093/?area=20
kokokapoakpd;Gestão de pessoas;DESENVOLVIMENTO DE EQUIPES;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/1422/?area=7
kodksaosk;Gestão de pessoas;GESTÃO DA MUDANÇA;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2057/?area=9
dfkdpfkpoakdf;Gestão de pessoas;SÍNDROME DO IMPOSTOR: PADRÕES QUE MINAM SUA CONFIANÇA NA LIDERANÇA;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;15 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2102/?area=3
fddijfioajofijdsa;Gestão de pessoas;RELAÇÕES INTERPESSOAIS E FEEDBACK;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2007/?area=3
dfifjia;Gestão de pessoas;GESTÃO DE EQUIPES HÍBRIDAS E DESAFIOS PARA A CULTURA ORGANIZACIONAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/957
dfkkap;Gestão de pessoas;E-LIDERANÇA: COMO GERENCIAR E LIDERAR EQUIPES EM AMBIENTES REMOTOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/773
kokokapoakpd;Gestão de pessoas;COMUNICAÇÃO NÃO VIOLENTA;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/463
kodksaosk;Gestão de pessoas;DESENVOLVENDO TIMES DE ALTA PERFORMANCE;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/356
dfkdpfkpoakdf;Gestão de pessoas;GESTÃO PESSOAL - BASE DA LIDERANÇA;https://acad-inpi.github.io/black/enap-logo.png;EAD;50 h/a;Gestores;https://www.escolavirtual.gov.br/curso/163
fddijfioajofijdsa;Gestão de pessoas;INTELIGÊNCIA EMOCIONAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;50 h/a;Gestores;https://www.escolavirtual.gov.br/curso/318
dfifjia;Edição de Vídeos;MÍDIAS PARA EDUCAÇÃO: PRODUÇÃO DE VÍDEOS E LIVES COM QUALIDADE;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/771
dfkkap;Edição de Vídeos;PRODUÇÃO DE VÍDEOS: UMA INTRODUÇÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;6 h/a;Gestores;https://www.escolavirtual.gov.br/curso/844
kokokapoakpd;Edição de Vídeos;PRODUÇÃO E EDIÇÃO DE VÍDEO PELO CELULAR;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/878
kodksaosk;Redação Oficial;PORTUGUÊS - INTERPRETAÇÃO DE TEXTO E EMPREGO DE REGRAS GRAMATICAIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/477
dfkdpfkpoakdf;Redação Oficial;REDAÇÃO OFICIAL E NOÇÕES DE SEI E SUAS APLICAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;EAD;10 h/a;Gestores;https://www.escolavirtual.gov.br/curso/563
fddijfioajofijdsa;Redação Oficial;UX WRITING PARA TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/813
dfifjia;Gestão do Tempo;ESTRATÉGIAS DE PRODUTIVIDADE: CLAREZA, PROPÓSITO E PRIORIZAÇÃO DE TAREFAS;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/444
dfkkap;Gestão do Tempo;GESTÃO DO TEMPO E PRODUTIVIDADE;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/468
kokokapoakpd;Gestão do Tempo;PLANEJAMENTO E ORGANIZAÇÃO PESSOAL NO TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/475
kodksaosk;Planilhas eletrônicas;INTRODUÇÃO AO EXCEL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/459
dfkdpfkpoakdf;Power BI;PRATICANDO BUSINESS INTELLIGENCE;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;32 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2016/?area=2
fddijfioajofijdsa;Power BI;APLICAÇÃO DO POWER BI PARA APRIMORAMENTO DA GESTÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/840
dfifjia;Direito Administrativo;PRATICANDO O DIREITO ADMINISTRATIVO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;EAD;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/1290/?area=9
dfkkap;Impacto Regulatório;FUNDAMENTOS DA TEORIA DA REGULAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/974
kokokapoakpd;Impacto Regulatório;ANÁLISE DE IMPACTO REGULATÓRIO: CONCEITOS FUNDAMENTAIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;10 h/a;Gestores;https://www.escolavirtual.gov.br/curso/357
kodksaosk;LGPD;PROTEÇÃO DE DADOS PESSOAIS NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;EAD;15 h/a;Gestores;https://www.escolavirtual.gov.br/curso/290
dfkdpfkpoakdf;LGPD;FUNDAMENTOS DA LEI GERAL DE PROTEÇÃO DE DADOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;15 h/a;Gestores;https://www.escolavirtual.gov.br/curso/603
fddijfioajofijdsa;LGPD;PRATICANDO A LGPD;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;22 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2054/?area=11
dfifjia;LGPD;INTRODUÇÃO À LEI BRASILEIRA DE PROTEÇÃO DE DADOS PESSOAIS;https://acad-inpi.github.io/black/enap-logo.png;EAD;10 h/a;Gestores;https://www.escolavirtual.gov.br/curso/153
dfkkap;LGPD;COMO IMPLEMENTAR A LGPD: BASES, MECANISMOS E PROCESSOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/529
kokokapoakpd;Gestão de pessoas;GESTÃO DE EQUIPES EM TRABALHO REMOTO;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/334/
