Competência;Temática;Título;Instituição;Carga Horária;LINK;MODALIDADE
kokokapoakpd;Contratações Públicas;PRATICANDO A APLICAÇÃO DE PENALIDAES NOS CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2037/?area=14;REMOTO
kodksaosk;Contratações Públicas;PRATICANDO A COMPRA PÚBLICA: ETP E TR;https://acad-inpi.github.io/black/enap-logo.png;28 h/a;https://suap.enap.gov.br/vitrine/curso/2074/?area=14;REMOTO
dfkdpfkpoakdf;Contratações Públicas;PRATICANDO A GESTÃO E FISCALIZAÇÃO DE CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;28 h/a;https://suap.enap.gov.br/vitrine/curso/2079/?area=13;REMOTO
fddijfioajofijdsa;Contratações Públicas;TRILHA DE APRENDIZAGEM: CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png; h/a;https://sites.google.com/enap.gov.br/trilha-de-contratacoes;
dfifjia;Contratações Públicas;ÉTICA EM CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png;15 h/a;https://suap.enap.gov.br/vitrine/curso/2031/?area=14;REMOTO
dfkkap;Contratações Públicas;FISCALIZAÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2041/?area=14;REMOTO
kokokapoakpd;Contratações Públicas;GESTÃO DE RISCOS NAS CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2070/?area=8;REMOTO
kodksaosk;Contratações Públicas;PLANILHA DE CUSTOS E FORMAÇÃO DE PREÇOS;https://acad-inpi.github.io/black/enap-logo.png;28 h/a;https://suap.enap.gov.br/vitrine/curso/1522/?area=14;REMOTO
dfkdpfkpoakdf;Contratações Públicas;PRATICANDO A APLICAÇÃO DE PENALIDAES NOS CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2037/?area=14;REMOTO
fddijfioajofijdsa;Contratações Públicas;PRATICANDO A COMPRA PÚBLICA: ETP E TR;https://acad-inpi.github.io/black/enap-logo.png;28 h/a;https://suap.enap.gov.br/vitrine/curso/2074/?area=14;REMOTO
dfifjia;Contratações Públicas;PRATICANDO A GESTÃO E FISCALIZAÇÃO DE CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;28 h/a;https://suap.enap.gov.br/vitrine/curso/2079/?area=13;REMOTO
dfkkap;Contratações Públicas;TRILHA DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png; h/a;https://sites.google.com/enap.gov.br/trilha-de-contratacoes;HÍBRIDO
kokokapoakpd;Planilhas eletrônicas;INTRODUÇÃO AO EXCEL ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/459;EAD
kodksaosk;Power BI;PRATICANDO BUSINESS INTELLIGENCE;https://acad-inpi.github.io/black/enap-logo.png;32 h/a;https://suap.enap.gov.br/vitrine/curso/2016/?area=2;REMOTO
dfkdpfkpoakdf;Power BI;APLICAÇÃO DO POWER BI PARA APRIMORAMENTO DA GESTÃO;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/840;EAD
fddijfioajofijdsa;Dados;VISUALIZAÇÃO DE DADOS APLICADA À TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/802;EAD
dfifjia;Dados;USO DE EVIDÊNCIAS PARA TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;22 h/a;https://suap.enap.gov.br/vitrine/curso/2065/?area=2;REMOTO
dfkkap;Dados;ANÁLISE DE DADOS: UMA LEITURA CRÍTICA DAS INFORMAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;23 h/a;https://www.escolavirtual.gov.br/curso/764;EAD
kokokapoakpd;Dados;ANÁLISE DE DADOS COMO SUPORTE À TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/406;EAD
kodksaosk;Gestão do Conhecimento;PRATICANDO A GESTÃO DO CONHECIMENTO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2061/?area=9;REMOTO
dfkdpfkpoakdf;Gestão do Conhecimento;GESTÃO DO CONHECIMENTO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/414/;EAD
fddijfioajofijdsa;Gestão do Conhecimento;GESTÃO DO CONHECIMENTO: TEORIA E PRÁTICAS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/904/;EAD
dfifjia;Gestão do Conhecimento;DESIGN THINKING APLICADO A BIBLIOTECAS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/852;EAD
dfkkap;Ensino e aprendizagem;ESTRATÉGIAS DE METODOLOGIAS ATIVAS;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/436;EAD
kokokapoakpd;Ensino e aprendizagem;ESTILOS DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/434;EAD
kodksaosk;Ensino e aprendizagem;AVALIAÇÃO EM PROCESSOS DE APRENDIZAGEM E MODELOS DE FEEDBACK;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/606;EAD
dfkdpfkpoakdf;Ensino e aprendizagem;METODOLOGIAS ATIVAS;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/628;EAD
fddijfioajofijdsa;Ensino e aprendizagem;DESENVOLVIMENTO DE OBJETOS E ATIVIDADES DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/446;EAD
dfifjia;Ensino e aprendizagem;AMBIENTES DIGITAIS DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/418;EAD
dfkkap;Ensino e aprendizagem;GESTÃO DE PROJETOS EDUCACIONAIS;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/415;EAD
kokokapoakpd;Ensino e aprendizagem;DESIGN THINKING APLICADO À EDUCAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/448;EAD
kodksaosk;Ensino e aprendizagem;FUNDAMENTOS E METODOLOGIA DA EDUCAÇÃO CORPORATIVA;https://acad-inpi.github.io/black/enap-logo.png; h/a;https://www.escolavirtual.gov.br/curso/271;EAD
dfkdpfkpoakdf;Ensino e aprendizagem;DESENHO INSTRUCIONAL PARA SOLUÇÕES DE CAPACITAÇÕES PRESENCIAIS;https://acad-inpi.github.io/black/enap-logo.png;40 h/a;https://www.escolavirtual.gov.br/curso/250;EAD
fddijfioajofijdsa;Ensino e aprendizagem;NOÇÕES BÁSICAS PARA COORDENAR CURSOS ON-LINE;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/198;EAD
dfifjia;Ensino e aprendizagem;FORMAÇÃO DE FACILITADORES DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;40 h/a;https://www.escolavirtual.gov.br/curso/141;EAD
dfkkap;Ensino e aprendizagem;DESIGN INSTRUCIONAL: ANÁLISE DE DEMANDAS DE AÇÕES DE APRENDIZAGEM;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2058/?area=23;REMOTO
kokokapoakpd;Ensino e aprendizagem;ESTRATÉGIAS PARA FACILITAÇÃO DE AULAS REMOTAS;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2101/?area=23;REMOTO
kodksaosk;Gestão de pessoas;COMUNICAÇÃO NÃO-VIOLENTA: BASES E APLICAÇÕES NA ERA DO TRABALHO REMOTO ;https://acad-inpi.github.io/black/enap-logo.png;18 h/a;https://suap.enap.gov.br/vitrine/curso/1181/?area=3;REMOTO
dfkdpfkpoakdf;Gestão de pessoas;HABILIDADES DE GESTÃO DE PESSOAS ;https://acad-inpi.github.io/black/enap-logo.png;23 h/a;https://suap.enap.gov.br/vitrine/curso/2023/?area=3;REMOTO
fddijfioajofijdsa;Gestão de pessoas;HABILIDADES DE COMUNICAÇÃO INTERPESSOAL NO AMBIENTE DE TRABALHO ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2049/?area=3;REMOTO
dfifjia;Gestão de pessoas;LIDERANÇA HUMANIZADA: CONSTRUINDO ESPAÇO DE SEGURANÇA PSICOLÓGICA ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2086/?area=7;REMOTO
dfkkap;Gestão de pessoas;LIDERANÇA HUMANIZADA: MODELAGEM DE PAPÉIS ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2093/?area=20;REMOTO
kokokapoakpd;Gestão de pessoas;DESENVOLVIMENTO DE EQUIPES;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/1422/?area=7;REMOTO
kodksaosk;Gestão de pessoas;GESTÃO DA MUDANÇA;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2057/?area=9;REMOTO
dfkdpfkpoakdf;Gestão de pessoas;SÍNDROME DO IMPOSTOR: PADRÕES QUE MINAM SUA CONFIANÇA NA LIDERANÇA;https://acad-inpi.github.io/black/enap-logo.png;15 h/a;https://suap.enap.gov.br/vitrine/curso/2102/?area=3;REMOTO
fddijfioajofijdsa;Gestão de pessoas;RELAÇÕES INTERPESSOAIS E FEEDBACK;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2007/?area=3;REMOTO
dfifjia;Gestão de pessoas;GESTÃO DE EQUIPES HÍBRIDAS E DESAFIOS PARA A CULTURA ORGANIZACIONAL;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/957;EAD
dfkkap;Gestão de pessoas;E-LIDERANÇA: COMO GERENCIAR E LIDERAR EQUIPES EM AMBIENTES REMOTOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/773;EAD
kokokapoakpd;Gestão de pessoas;COMUNICAÇÃO NÃO VIOLENTA;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/463;EAD
kodksaosk;Gestão de pessoas;DESENVOLVENDO TIMES DE ALTA PERFORMANCE;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/356;EAD
dfkdpfkpoakdf;Gestão de pessoas;GESTÃO PESSOAL - BASE DA LIDERANÇA;https://acad-inpi.github.io/black/enap-logo.png;50 h/a;https://www.escolavirtual.gov.br/curso/163;EAD
fddijfioajofijdsa;Gestão de pessoas;INTELIGÊNCIA EMOCIONAL;https://acad-inpi.github.io/black/enap-logo.png;50 h/a;https://www.escolavirtual.gov.br/curso/318;EAD
dfifjia;Edição de Vídeos;MÍDIAS PARA EDUCAÇÃO: PRODUÇÃO DE VÍDEOS E LIVES COM QUALIDADE;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/771;EAD
dfkkap;Edição de Vídeos;PRODUÇÃO DE VÍDEOS: UMA INTRODUÇÃO;https://acad-inpi.github.io/black/enap-logo.png;6 h/a;https://www.escolavirtual.gov.br/curso/844;EAD
kokokapoakpd;Edição de Vídeos;PRODUÇÃO E EDIÇÃO DE VÍDEO PELO CELULAR;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/878;EAD
kodksaosk;Redação Oficial;PORTUGUÊS - INTERPRETAÇÃO DE TEXTO E EMPREGO DE REGRAS GRAMATICAIS;https://acad-inpi.github.io/black/enap-logo.png;40 h/a;https://www.escolavirtual.gov.br/curso/477;EAD
dfkdpfkpoakdf;Redação Oficial;REDAÇÃO OFICIAL E NOÇÕES DE SEI E SUAS APLICAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;10 h/a;https://www.escolavirtual.gov.br/curso/563;EAD
fddijfioajofijdsa;Redação Oficial;UX WRITING PARA TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/813;EAD
dfifjia;Gestão do Tempo;ESTRATÉGIAS DE PRODUTIVIDADE: CLAREZA, PROPÓSITO E PRIORIZAÇÃO DE TAREFAS;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/444;EAD
dfkkap;Gestão do Tempo;GESTÃO DO TEMPO E PRODUTIVIDADE;https://acad-inpi.github.io/black/enap-logo.png;40 h/a;https://www.escolavirtual.gov.br/curso/468;EAD
kokokapoakpd;Gestão do Tempo;PLANEJAMENTO E ORGANIZAÇÃO PESSOAL NO TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/475;EAD
kodksaosk;Planilhas eletrônicas;INTRODUÇÃO AO EXCEL ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/459;EAD
dfkdpfkpoakdf;Power BI;PRATICANDO BUSINESS INTELLIGENCE;https://acad-inpi.github.io/black/enap-logo.png;32 h/a;https://suap.enap.gov.br/vitrine/curso/2016/?area=2;REMOTO
fddijfioajofijdsa;Power BI;APLICAÇÃO DO POWER BI PARA APRIMORAMENTO DA GESTÃO;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/840;EAD
dfifjia;Direito Administrativo;PRATICANDO O DIREITO ADMINISTRATIVO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/1290/?area=9;EAD
dfkkap;Impacto Regulatório;FUNDAMENTOS DA TEORIA DA REGULAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;40 h/a;https://www.escolavirtual.gov.br/curso/974;EAD
kokokapoakpd;Impacto Regulatório;ANÁLISE DE IMPACTO REGULATÓRIO: CONCEITOS FUNDAMENTAIS;https://acad-inpi.github.io/black/enap-logo.png;10 h/a;https://www.escolavirtual.gov.br/curso/357;EAD
kodksaosk;LGPD;PROTEÇÃO DE DADOS PESSOAIS NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;15 h/a;https://www.escolavirtual.gov.br/curso/290;EAD
dfkdpfkpoakdf;LGPD;FUNDAMENTOS DA LEI GERAL DE PROTEÇÃO DE DADOS;https://acad-inpi.github.io/black/enap-logo.png;15 h/a;https://www.escolavirtual.gov.br/curso/603;EAD
fddijfioajofijdsa;LGPD;PRATICANDO A LGPD;https://acad-inpi.github.io/black/enap-logo.png;22 h/a;https://suap.enap.gov.br/vitrine/curso/2054/?area=11;REMOTO
dfifjia;LGPD;INTRODUÇÃO À LEI BRASILEIRA DE PROTEÇÃO DE DADOS PESSOAIS;https://acad-inpi.github.io/black/enap-logo.png;10 h/a;https://www.escolavirtual.gov.br/curso/153;EAD
dfkkap;LGPD;COMO IMPLEMENTAR A LGPD: BASES, MECANISMOS E PROCESSOS;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/529;EAD
kokokapoakpd;Gestão de pessoas;GESTÃO DE EQUIPES EM TRABALHO REMOTO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/334/;EAD
kodksaosk;Gestão de pessoas;E-LIDERANÇA: COMO GERENCIAR E LIDERAR EQUIPES EM AMBIENTES REMOTOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/773;EAD
dfkdpfkpoakdf;Gestão de pessoas;COMUNICAÇÃO NÃO-VIOLENTA: BASES E APLICAÇÕES NA ERA DO TRABALHO REMOTO;https://acad-inpi.github.io/black/enap-logo.png;18 h/a;https://suap.enap.gov.br/vitrine/curso/1181/?area=3;REMOTO
fddijfioajofijdsa;Gestão de pessoas;GESTÃO DE EQUIPES HÍBRIDAS E DESAFIOS PARA A CULTURA ORGANIZACIONAL;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/957;EAD
dfifjia;Defesa do usuário e simplificação;CERTIFICAÇÃO EM ATENDIMENTO AO CIDADÃO;https://acad-inpi.github.io/black/enap-logo.png;133 h/a;https://www.escolavirtual.gov.br/certificacao/121;EAD
dfkkap;ÉTICA;INTRODUÇÃO À GESTÃO E APURAÇÃO DA ÉTICA PÚBLICA;https://acad-inpi.github.io/black/enap-logo.png;24 h/a;https://www.escolavirtual.gov.br/curso/347/;
kokokapoakpd;ÉTICA;ÉTICA PROFISSIONAL DO SERVIÇO PÚBLICO NA RECEITA FEDERAL DO BRASIL;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/232/;
kodksaosk;Linguagem Simples;PRIMEIROS PASSOS PARA USO DE LINGUAGEM SIMPLES;https://acad-inpi.github.io/black/enap-logo.png;8 h/a;https://www.escolavirtual.gov.br/curso/315;EAD
dfkdpfkpoakdf;Linguagem Simples;LINGUAGEM SIMPLES APROXIMA O GOVERNO DAS PESSOAS. COMO USAR?;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/332;EAD
fddijfioajofijdsa;Redação Oficial;PORTUGUÊS - INTERPRETAÇÃO DE TEXTO E EMPREGO DE REGRAS GRAMATICAIS;https://acad-inpi.github.io/black/enap-logo.png;40 h/a;https://www.escolavirtual.gov.br/curso/477;EAD
dfifjia;Redação Oficial;REDAÇÃO OFICIAL E NOÇÕES DE SEI E SUAS APLICAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;10 h/a;https://www.escolavirtual.gov.br/curso/563;EAD
dfkkap;Redação Oficial;UX WRITING PARA TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/813;EAD
kokokapoakpd;Gestão de Projetos;DOMINANDO A GESTÃO DE PROJETOS;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2026/?area=8;REMOTO
kodksaosk;Gestão de Projetos;PENSAMENTO ÁGIL EM PROJETOS;https://acad-inpi.github.io/black/enap-logo.png;17 h/a;https://suap.enap.gov.br/vitrine/curso/2029/?area=8;REMOTO
dfkdpfkpoakdf;Gestão de Projetos;PRIORIZANDO E SELECIONANDO PROJETOS;https://acad-inpi.github.io/black/enap-logo.png;18 h/a;https://suap.enap.gov.br/vitrine/curso/2035/?area=8;REMOTO
fddijfioajofijdsa;Gestão de Projetos;TRANSFORMANDO IDEIAQS EM PROJETOS;https://acad-inpi.github.io/black/enap-logo.png;17 h/a;https://suap.enap.gov.br/vitrine/curso/2024/?area=8;REMOTO
dfifjia;Gestão de Projetos;GESTÃO DE PROJETOS;https://acad-inpi.github.io/black/enap-logo.png;10 h/a;https://www.escolavirtual.gov.br/curso/787;EAD
dfkkap;Gestão de Projetos;GERENCIAMENTO DE PROJETOS NA PRÁTICA;https://acad-inpi.github.io/black/enap-logo.png;40 h/a;https://www.escolavirtual.gov.br/curso/680;EAD
kokokapoakpd;Gestão de Projetos;PRINCE2 - OUTRA MANEIRA DE GERENCIAR PROJETOS NA ADMINISTRAÇÃO PÚBLICA;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/723;EAD
kodksaosk;Gestão de Projetos;ÁGIL NO CONTEXTO DO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;15 h/a;https://www.escolavirtual.gov.br/curso/317;EAD
dfkdpfkpoakdf;Gestão de Projetos;SCRUM NO CONTEXTO DO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;15 h/a;https://www.escolavirtual.gov.br/curso/395;EAD
fddijfioajofijdsa;Gestão de Projetos;INTRODUÇÃO À GESTÃO DE PROJETOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/104;EAD
dfifjia;Gestão de Projetos;INOVANDO NA GESTÃO DE PROJETOS;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/956;EAD
dfkkap;Defesa do usuário e simplificação;CERTIFICAÇÃO EM ATENDIMENTO AO CIDADÃO;https://acad-inpi.github.io/black/enap-logo.png;133 h/a;https://www.escolavirtual.gov.br/certificacao/121;EAD
kokokapoakpd;Avaliação da Qualidade de Serviços;AVALIAÇÃO DA QUALIDADE DE SERVIÇOS COMO BASE PARA GESTÃO E MELHORIA DE SERVIÇOS PÚBLICOS;https://acad-inpi.github.io/black/enap-logo.png; h/a;https://www.escolavirtual.gov.br/curso/368;EAD
kodksaosk;Pesquisa com usuários;UX: COMO MELHORAR A EXPERIÊNCIA DO USUÁRIO NO SERVIÇO PÚBLICO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/537;EAD
dfkdpfkpoakdf;Pesquisa com usuários;USER RESEARCH: ENTENDENDO AS NECESSIDADES DOS USUÁRIOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2075/?area=11;REMOTO
fddijfioajofijdsa;Pesquisa com usuários;USER RESEARCH: AVALIANDO PROJETOS COM USUÁRIOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2107/?area=11;REMOTO
dfifjia;Planilhas eletrônicas;INTRODUÇÃO AO EXCEL ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/459;EAD
dfkkap;Power BI;PRATICANDO BUSINESS INTELLIGENCE;https://acad-inpi.github.io/black/enap-logo.png;32 h/a;https://suap.enap.gov.br/vitrine/curso/2016/?area=2;REMOTO
kokokapoakpd;Power BI;APLICAÇÃO DO POWER BI PARA APRIMORAMENTO DA GESTÃO;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/840;EAD
kodksaosk;DADOS;USO DE EVIDÊNCIAS PARA TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;22 h/a;https://suap.enap.gov.br/vitrine/curso/2065/?area=2;REMOTO
dfkdpfkpoakdf;DADOS;BIG DATA EM APOIO À TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/800;EAD
fddijfioajofijdsa;DADOS;ESTATÍSTICA PARA ANÁLISE DE DADOS NA ADMINISTRAÇÃO PÚBLICA;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/930;EAD
dfifjia;DADOS;VISUALIZAÇÃO DE DADOS APLICADA À TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/802;EAD
dfkkap;DADOS;ANÁLISE DE DADOS: UMA LEITURA CRÍTICA DAS INFORMAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;23 h/a;https://www.escolavirtual.gov.br/curso/764;EAD
kokokapoakpd;DADOS;ANÁLISE DE DADOS COMO SUPORTE À TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/406;EAD
kodksaosk;Gestão por processos;ANÁLISE E MELHORIA DE PROCESSOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/424/;EAD
dfkdpfkpoakdf;Gestão por processos;FUNDAMENTOS DA TRANSFORMAÇÃO DIGITAL: MAPEAMENTO E AUTOMAÇÃO DE PROCESSOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/518/;EAD
fddijfioajofijdsa;Gestão por processos;INTRODUÇÃO À GESTÃO DE PROCESSOS;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/679/;EAD
dfifjia;Gestão por processos;AUTOMAÇÃO DE PROCESSOS ATRAVÉS DA RPA PARA TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/797/;EAD
dfkkap;Gestão por processos;PRATICANDO ANÁLISE E MELHORIA DE PROCESSOS;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/1710/?area=8;REMOTO
kokokapoakpd;Gestão por processos;PRATICANDO A GESTÃO DE PROCESSOS COM FOCO EM INOVAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2064/?area=8;REMOTO
kodksaosk;Direito Administrativo;PRATICANDO O DIREITO ADMINISTRATIVO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/1290/?area=9;EAD
dfkdpfkpoakdf;Gestão de pessoas;COMUNICAÇÃO NÃO-VIOLENTA: BASES E APLICAÇÕES NA ERA DO TRABALHO REMOTO ;https://acad-inpi.github.io/black/enap-logo.png;18 h/a;https://suap.enap.gov.br/vitrine/curso/1181/?area=3;REMOTO
fddijfioajofijdsa;Gestão de pessoas;HABILIDADES DE GESTÃO DE PESSOAS ;https://acad-inpi.github.io/black/enap-logo.png;23 h/a;https://suap.enap.gov.br/vitrine/curso/2023/?area=3;REMOTO
dfifjia;Gestão de pessoas;HABILIDADES DE COMUNICAÇÃO INTERPESSOAL NO AMBIENTE DE TRABALHO ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2049/?area=3;REMOTO
dfkkap;Gestão de pessoas;LIDERANÇA HUMANIZADA: CONSTRUINDO ESPAÇO DE SEGURANÇA PSICOLÓGICA ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2086/?area=7;REMOTO
kokokapoakpd;Gestão de pessoas;LIDERANÇA HUMANIZADA: MODELAGEM DE PAPÉIS ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2093/?area=20;REMOTO
kodksaosk;Gestão de pessoas;DESENVOLVIMENTO DE EQUIPES;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/1422/?area=7;REMOTO
dfkdpfkpoakdf;Gestão de pessoas;GESTÃO DA MUDANÇA;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2057/?area=9;REMOTO
fddijfioajofijdsa;Gestão de pessoas;SÍNDROME DO IMPOSTOR: PADRÕES QUE MINAM SUA CONFIANÇA NA LIDERANÇA;https://acad-inpi.github.io/black/enap-logo.png;15 h/a;https://suap.enap.gov.br/vitrine/curso/2102/?area=3;REMOTO
